No,Latitude,Longitude,Altitude,Date,Time
1,33.734145,-84.352815,307.0,2013/08/12,13:13:30
2,33.734142,-84.352807,307.0,2013/08/12,13:13:31
3,33.734094,-84.352727,307.0,2013/08/12,13:13:46
4,33.734121,-84.352630,307.0,2013/08/12,13:13:49
5,33.734125,-84.352506,307.0,2013/08/12,13:13:52
6,33.734120,-84.352397,307.0,2013/08/12,13:13:53
7,33.734075,-84.352299,307.0,2013/08/12,13:13:56
8,33.734041,-84.352193,307.0,2013/08/12,13:13:59
9,33.733978,-84.352079,307.0,2013/08/12,13:14:03
10,33.733947,-84.351932,306.8,2013/08/12,13:14:07
11,33.733927,-84.351802,306.6,2013/08/12,13:14:09
12,33.733925,-84.351677,306.5,2013/08/12,13:14:12
13,33.733929,-84.351559,306.3,2013/08/12,13:14:15
14,33.733895,-84.351462,306.1,2013/08/12,13:14:18
15,33.733757,-84.351383,305.9,2013/08/12,13:14:21
16,33.733674,-84.351309,305.7,2013/08/12,13:14:26
17,33.733597,-84.351345,305.5,2013/08/12,13:14:28
18,33.733515,-84.351371,305.4,2013/08/12,13:14:33
19,33.733410,-84.351371,305.4,2013/08/12,13:14:35
20,33.733286,-84.351379,305.4,2013/08/12,13:14:38
21,33.733203,-84.351386,305.5,2013/08/12,13:14:41
22,33.733119,-84.351405,305.7,2013/08/12,13:14:43
23,33.733023,-84.351406,305.9,2013/08/12,13:14:45
24,33.732909,-84.351427,306.1,2013/08/12,13:14:47
25,33.732787,-84.351446,306.3,2013/08/12,13:14:49
26,33.732645,-84.351491,306.5,2013/08/12,13:14:51
27,33.732533,-84.351548,306.8,2013/08/12,13:14:53
28,33.732430,-84.351562,307.2,2013/08/12,13:14:55
29,33.732323,-84.351588,307.5,2013/08/12,13:14:57
30,33.732217,-84.351564,307.7,2013/08/12,13:14:59
31,33.732134,-84.351564,307.9,2013/08/12,13:15:01
32,33.732033,-84.351580,308.1,2013/08/12,13:15:04
