No,Latitude,Longitude,Altitude,Date,Time
1,33.753496,-84.366352,312.7,2013/08/22,05:35:08
2,33.753500,-84.366330,312.7,2013/08/22,05:35:08
3,33.753820,-84.366420,312.8,2013/08/22,05:35:17
4,33.754040,-84.366480,312.8,2013/08/22,05:35:24
5,33.754190,-84.366530,312.8,2013/08/22,05:35:28
6,33.754270,-84.366550,312.6,2013/08/22,05:35:31
7,33.754290,-84.366550,312.5,2013/08/22,05:35:31
8,33.754340,-84.366560,312.5,2013/08/22,05:35:33
9,33.754410,-84.366570,312.3,2013/08/22,05:35:35
10,33.754510,-84.366570,312.1,2013/08/22,05:35:37
11,33.754740,-84.366570,311.9,2013/08/22,05:35:44
12,33.754780,-84.366580,311.7,2013/08/22,05:35:45
13,33.754800,-84.366580,311.5,2013/08/22,05:35:46
14,33.754820,-84.366590,311.4,2013/08/22,05:35:46
15,33.754830,-84.366610,311.2,2013/08/22,05:35:47
16,33.754840,-84.366640,311.0,2013/08/22,05:35:48
17,33.754850,-84.366680,311.4,2013/08/22,05:35:49
18,33.754860,-84.366800,311.7,2013/08/22,05:35:51
19,33.754870,-84.366930,312.1,2013/08/22,05:35:55
20,33.754880,-84.366960,312.5,2013/08/22,05:35:55
21,33.754890,-84.366990,312.8,2013/08/22,05:35:56
22,33.754910,-84.367010,313.5,2013/08/22,05:35:57
23,33.754930,-84.367040,313.9,2013/08/22,05:35:58
24,33.754960,-84.367060,314.4,2013/08/22,05:35:59
25,33.755000,-84.367070,314.8,2013/08/22,05:36:00
26,33.755090,-84.367060,314.7,2013/08/22,05:36:02
27,33.755730,-84.367030,314.6,2013/08/22,05:36:21
28,33.756510,-84.366980,314.2,2013/08/22,05:36:43
29,33.756590,-84.366870,313.7,2013/08/22,05:36:46
30,33.756750,-84.366670,313.2,2013/08/22,05:36:53
31,33.757240,-84.366050,312.8,2013/08/22,05:37:13
32,33.757240,-84.366050,312.5,2013/08/22,05:37:13
33,33.757570,-84.365620,311.9,2013/08/22,05:37:27
34,33.757830,-84.365630,311.5,2013/08/22,05:37:34
35,33.758520,-84.365610,311.0,2013/08/22,05:37:54
36,33.759450,-84.365590,310.5,2013/08/22,05:38:20
37,33.759540,-84.365590,310.5,2013/08/22,05:38:23
38,33.760300,-84.365580,310.5,2013/08/22,05:38:44
39,33.761020,-84.365540,310.5,2013/08/22,05:39:05
40,33.761020,-84.365540,310.5,2013/08/22,05:39:05
41,33.761330,-84.365530,310.5,2013/08/22,05:39:14
42,33.761330,-84.365490,310.5,2013/08/22,05:39:15
43,33.761440,-84.365520,310.4,2013/08/22,05:39:18
44,33.761470,-84.365520,310.2,2013/08/22,05:39:19
45,33.761510,-84.365520,310.1,2013/08/22,05:39:20
46,33.761540,-84.365510,310.0,2013/08/22,05:39:21
47,33.761560,-84.365490,310.0,2013/08/22,05:39:22
48,33.761600,-84.365470,310.0,2013/08/22,05:39:23
49,33.761650,-84.365440,310.0,2013/08/22,05:39:24
50,33.761640,-84.365540,310.0,2013/08/22,05:39:27
51,33.761580,-84.365880,310.0,2013/08/22,05:39:35
52,33.761560,-84.365940,310.3,2013/08/22,05:39:36
53,33.761560,-84.365940,310.6,2013/08/22,05:39:36
54,33.761500,-84.366120,311.1,2013/08/22,05:39:41
55,33.761340,-84.366470,311.5,2013/08/22,05:39:51
56,33.761330,-84.366490,312.6,2013/08/22,05:39:51
57,33.761210,-84.366750,314.1,2013/08/22,05:39:58
58,33.760780,-84.367680,315.5,2013/08/22,05:40:23
59,33.760700,-84.367860,316.6,2013/08/22,05:40:28
60,33.760620,-84.368020,317.7,2013/08/22,05:40:32
61,33.760440,-84.368410,318.8,2013/08/22,05:40:43
62,33.760320,-84.368770,319.6,2013/08/22,05:40:52
63,33.760230,-84.369080,320.2,2013/08/22,05:41:00
64,33.760020,-84.369520,320.6,2013/08/22,05:41:12
65,33.759930,-84.369740,321.0,2013/08/22,05:41:18
66,33.759920,-84.370120,321.4,2013/08/22,05:41:27
67,33.759950,-84.371470,321.1,2013/08/22,05:41:59
68,33.759940,-84.371560,320.5,2013/08/22,05:42:01
69,33.759940,-84.371610,319.7,2013/08/22,05:42:02
70,33.759950,-84.371670,319.4,2013/08/22,05:42:03
71,33.759970,-84.371770,319.0,2013/08/22,05:42:06
72,33.760010,-84.371900,318.6,2013/08/22,05:42:09
73,33.760040,-84.372060,318.5,2013/08/22,05:42:13
74,33.760040,-84.372110,318.5,2013/08/22,05:42:14
75,33.760040,-84.372160,318.4,2013/08/22,05:42:15
76,33.760040,-84.372190,318.3,2013/08/22,05:42:16
77,33.760030,-84.372200,318.2,2013/08/22,05:42:16
78,33.760000,-84.372220,318.1,2013/08/22,05:42:17
79,33.759980,-84.372220,317.9,2013/08/22,05:42:18
80,33.759920,-84.372360,317.8,2013/08/22,05:42:22
81,33.759860,-84.372540,317.7,2013/08/22,05:42:26
82,33.759820,-84.372720,317.6,2013/08/22,05:42:31
83,33.759820,-84.372800,317.5,2013/08/22,05:42:33
84,33.759820,-84.372930,317.5,2013/08/22,05:42:36
85,33.759800,-84.373080,317.2,2013/08/22,05:42:39
86,33.759740,-84.373290,316.9,2013/08/22,05:42:44
87,33.759740,-84.373380,316.6,2013/08/22,05:42:47
88,33.759750,-84.373500,316.4,2013/08/22,05:42:49
89,33.759790,-84.373660,316.3,2013/08/22,05:42:53
90,33.759800,-84.373770,316.3,2013/08/22,05:42:56
91,33.759800,-84.373790,316.3,2013/08/22,05:42:56
92,33.759800,-84.373790,316.3,2013/08/22,05:42:56
93,33.759800,-84.373770,316.3,2013/08/22,05:42:57
94,33.759790,-84.373660,316.3,2013/08/22,05:43:00
95,33.759750,-84.373500,316.3,2013/08/22,05:43:04
96,33.759710,-84.373510,316.5,2013/08/22,05:43:05
97,33.759690,-84.373500,316.6,2013/08/22,05:43:05
98,33.759670,-84.373480,316.8,2013/08/22,05:43:06
99,33.759660,-84.373450,316.7,2013/08/22,05:43:07
100,33.759650,-84.373330,316.5,2013/08/22,05:43:10
101,33.759650,-84.373290,316.2,2013/08/22,05:43:11
102,33.759640,-84.373250,315.9,2013/08/22,05:43:12
103,33.759630,-84.373240,315.5,2013/08/22,05:43:12
104,33.759610,-84.373230,315.4,2013/08/22,05:43:13
105,33.759600,-84.373220,315.2,2013/08/22,05:43:13
106,33.759580,-84.373230,315.0,2013/08/22,05:43:14
107,33.759540,-84.373220,314.8,2013/08/22,05:43:15
108,33.759530,-84.374310,314.6,2013/08/22,05:43:40
109,33.759720,-84.374310,314.5,2013/08/22,05:43:46
110,33.760050,-84.374300,314.5,2013/08/22,05:43:55
111,33.760100,-84.374300,314.6,2013/08/22,05:43:57
112,33.760130,-84.374300,314.7,2013/08/22,05:43:58
113,33.760250,-84.374300,314.8,2013/08/22,05:44:01
114,33.760550,-84.374310,315.0,2013/08/22,05:44:09
115,33.760620,-84.374310,314.7,2013/08/22,05:44:11
116,33.760630,-84.374310,314.5,2013/08/22,05:44:12
117,33.760680,-84.374300,314.2,2013/08/22,05:44:13
118,33.760940,-84.374300,313.9,2013/08/22,05:44:21
119,33.760940,-84.374300,313.5,2013/08/22,05:44:21
120,33.761310,-84.374300,313.0,2013/08/22,05:44:31
121,33.761350,-84.374290,312.5,2013/08/22,05:44:32
122,33.761390,-84.374280,312.1,2013/08/22,05:44:33
123,33.761890,-84.374260,311.6,2013/08/22,05:44:48
124,33.762320,-84.374250,311.2,2013/08/22,05:45:00
125,33.762540,-84.374250,310.7,2013/08/22,05:45:06
126,33.762580,-84.374250,310.7,2013/08/22,05:45:07
127,33.762710,-84.374230,310.7,2013/08/22,05:45:11
128,33.762820,-84.374190,310.7,2013/08/22,05:45:14
129,33.762840,-84.374180,310.7,2013/08/22,05:45:15
130,33.762900,-84.374160,310.9,2013/08/22,05:45:17
131,33.763250,-84.374010,311.1,2013/08/22,05:45:27
132,33.763520,-84.373880,311.3,2013/08/22,05:45:35
133,33.763980,-84.373660,311.5,2013/08/22,05:45:50
134,33.764060,-84.373630,311.8,2013/08/22,05:45:52
135,33.764460,-84.373580,312.0,2013/08/22,05:46:03
136,33.764500,-84.373580,312.2,2013/08/22,05:46:04
137,33.764860,-84.373540,312.2,2013/08/22,05:46:15
138,33.765500,-84.373470,312.3,2013/08/22,05:46:33
139,33.766340,-84.373380,312.2,2013/08/22,05:46:57
140,33.767210,-84.373270,312.0,2013/08/22,05:47:22
141,33.767640,-84.373210,311.7,2013/08/22,05:47:34
142,33.767910,-84.373180,311.5,2013/08/22,05:47:42
143,33.768710,-84.373080,311.2,2013/08/22,05:48:05
144,33.769270,-84.373010,310.8,2013/08/22,05:48:21
145,33.769890,-84.372930,310.5,2013/08/22,05:48:38
146,33.770580,-84.372840,310.2,2013/08/22,05:48:58
147,33.770590,-84.372840,309.9,2013/08/22,05:48:59
148,33.770670,-84.372830,309.0,2013/08/22,05:49:01
149,33.770740,-84.372820,307.7,2013/08/22,05:49:03
150,33.770740,-84.372820,306.6,2013/08/22,05:49:03
151,33.771060,-84.372780,304.8,2013/08/22,05:49:12
152,33.771180,-84.372780,303.1,2013/08/22,05:49:15
153,33.772930,-84.372790,301.4,2013/08/22,05:50:05
154,33.773150,-84.372800,299.6,2013/08/22,05:50:11
155,33.773270,-84.372810,297.9,2013/08/22,05:50:15
156,33.773990,-84.372820,296.2,2013/08/22,05:50:35
157,33.774120,-84.372820,294.5,2013/08/22,05:50:39
158,33.774220,-84.372820,292.4,2013/08/22,05:50:42
159,33.774310,-84.372850,290.6,2013/08/22,05:50:44
160,33.774320,-84.372860,289.2,2013/08/22,05:50:45
161,33.774330,-84.372860,287.4,2013/08/22,05:50:45
162,33.774470,-84.372860,286.4,2013/08/22,05:50:49
163,33.775320,-84.372860,285.4,2013/08/22,05:51:13
164,33.775650,-84.372860,284.2,2013/08/22,05:51:23
165,33.776170,-84.372860,282.9,2013/08/22,05:51:37
166,33.776910,-84.372860,281.6,2013/08/22,05:51:58
167,33.777130,-84.372860,280.4,2013/08/22,05:52:05
168,33.777230,-84.372860,279.1,2013/08/22,05:52:08
169,33.778510,-84.372870,278.2,2013/08/22,05:52:44
170,33.779480,-84.372880,277.7,2013/08/22,05:53:11
171,33.779520,-84.372860,277.3,2013/08/22,05:53:13
172,33.779540,-84.372860,277.1,2013/08/22,05:53:13
173,33.779550,-84.372840,276.8,2013/08/22,05:53:14
174,33.779570,-84.372820,276.5,2013/08/22,05:53:15
175,33.780010,-84.372830,276.5,2013/08/22,05:53:27
176,33.780380,-84.372830,276.5,2013/08/22,05:53:38
177,33.780570,-84.372830,276.5,2013/08/22,05:53:43
178,33.781390,-84.372820,276.5,2013/08/22,05:54:06
179,33.781390,-84.372820,275.8,2013/08/22,05:54:06
180,33.781660,-84.372820,275.2,2013/08/22,05:54:14
181,33.781770,-84.372800,274.4,2013/08/22,05:54:17
182,33.781770,-84.372730,273.4,2013/08/22,05:54:19
183,33.781780,-84.372680,272.5,2013/08/22,05:54:20
184,33.781770,-84.371720,272.0,2013/08/22,05:54:43
185,33.781770,-84.371230,271.5,2013/08/22,05:54:54
186,33.781770,-84.371120,271.1,2013/08/22,05:54:57
187,33.781760,-84.369790,270.6,2013/08/22,05:55:28
188,33.781760,-84.369560,270.5,2013/08/22,05:55:34
189,33.781760,-84.369380,270.3,2013/08/22,05:55:38
190,33.781760,-84.369380,270.7,2013/08/22,05:55:38
191,33.781760,-84.369090,271.2,2013/08/22,05:55:45
192,33.781750,-84.368680,271.6,2013/08/22,05:55:55
193,33.781900,-84.368630,272.3,2013/08/22,05:55:59
194,33.782040,-84.368590,272.9,2013/08/22,05:56:03
195,33.782100,-84.368570,273.2,2013/08/22,05:56:05
196,33.782310,-84.368510,273.9,2013/08/22,05:56:11
197,33.782260,-84.368430,274.7,2013/08/22,05:56:13
198,33.782210,-84.368370,275.5,2013/08/22,05:56:15
199,33.782130,-84.368310,276.1,2013/08/22,05:56:18
200,33.782130,-84.368310,276.6,2013/08/22,05:56:18
201,33.781230,-84.367600,277.5,2013/08/22,05:56:49
202,33.781370,-84.367280,278.5,2013/08/22,05:56:57
203,33.781390,-84.367210,279.7,2013/08/22,05:56:59
204,33.781390,-84.367210,280.8,2013/08/22,05:56:59
205,33.781430,-84.367100,282.5,2013/08/22,05:57:02
206,33.781490,-84.366880,284.1,2013/08/22,05:57:07
207,33.781530,-84.366650,285.3,2013/08/22,05:57:13
208,33.781600,-84.365590,286.5,2013/08/22,05:57:38
209,33.781660,-84.364840,287.6,2013/08/22,05:57:56
