Latitude,Longitude,Altitude,Date,Time,Seg
33.774607,-84.359679,314.6,2013/08/02,15:46:35,NA
33.774622,-84.359686,315,2013/08/02,15:46:44,1
33.774694,-84.359622,314.9,2013/08/02,15:47:26,1
33.774682,-84.359518,315.1,2013/08/02,15:47:29,1
33.774648,-84.359411,315.1,2013/08/02,15:47:32,1
33.77466,-84.359271,315.2,2013/08/02,15:47:35,1
33.774671,-84.359167,314.9,2013/08/02,15:47:38,1
33.774633,-84.359048,315,2013/08/02,15:47:42,1
33.774638,-84.358944,315.8,2013/08/02,15:47:48,1
33.774641,-84.358844,316.3,2013/08/02,15:47:54,1
33.774738,-84.358849,316.2,2013/08/02,15:47:56,1
33.774836,-84.358856,315.6,2013/08/02,15:47:59,1
33.774923,-84.358861,314.6,2013/08/02,15:48:02,1
33.775031,-84.358846,313.5,2013/08/02,15:48:06,1
33.775116,-84.358821,312.2,2013/08/02,15:48:09,1
33.775192,-84.358786,311,2013/08/02,15:48:13,1
33.77529,-84.358693,309.7,2013/08/02,15:48:22,1
33.775356,-84.358634,308.7,2013/08/02,15:48:25,1
33.77537,-84.358531,307.2,2013/08/02,15:48:27,1
33.775392,-84.358437,305.4,2013/08/02,15:48:29,1
33.775412,-84.358336,303.7,2013/08/02,15:48:32,1
33.775433,-84.358236,302.1,2013/08/02,15:48:34,1
33.775421,-84.358124,300.9,2013/08/02,15:48:36,1
33.775429,-84.357961,300.2,2013/08/02,15:48:38,1
33.775432,-84.357854,299.8,2013/08/02,15:48:40,1
33.775478,-84.357717,299.6,2013/08/02,15:48:42,1
33.775472,-84.357563,299.4,2013/08/02,15:48:44,1
33.775461,-84.357427,299.1,2013/08/02,15:48:46,1
33.775473,-84.357278,298.9,2013/08/02,15:48:48,1
33.775479,-84.357146,298.8,2013/08/02,15:48:50,1
33.775482,-84.357011,298.8,2013/08/02,15:48:52,1
33.775483,-84.35687,299,2013/08/02,15:48:54,1
33.775452,-84.356744,299.3,2013/08/02,15:48:56,1
33.775451,-84.356619,299.6,2013/08/02,15:48:58,1
33.775455,-84.356491,299.8,2013/08/02,15:49:00,1
33.775467,-84.356379,300.2,2013/08/02,15:49:02,1
33.775461,-84.356275,300.6,2013/08/02,15:49:04,1
33.775455,-84.356136,300.6,2013/08/02,15:49:07,1
33.775446,-84.356009,300.7,2013/08/02,15:49:10,1
33.77545,-84.355892,300.5,2013/08/02,15:49:13,1
33.775445,-84.355788,300.1,2013/08/02,15:49:16,1
33.775464,-84.355693,299.7,2013/08/02,15:49:20,1
33.77543,-84.355564,299.1,2013/08/02,15:49:24,1
33.775422,-84.355431,298.6,2013/08/02,15:49:27,1
33.775434,-84.355324,298.1,2013/08/02,15:49:29,1
33.775437,-84.355187,297.5,2013/08/02,15:49:30,1
33.775443,-84.355084,296.8,2013/08/02,15:49:32,1
33.775441,-84.354972,296,2013/08/02,15:49:34,1
33.775455,-84.354863,295.5,2013/08/02,15:49:36,1
33.775458,-84.354752,294.9,2013/08/02,15:49:38,1
33.775462,-84.354635,294.4,2013/08/02,15:49:40,1
33.775458,-84.354513,294.3,2013/08/02,15:49:42,1
33.775457,-84.354377,294.1,2013/08/02,15:49:44,1
33.775453,-84.354255,294.2,2013/08/02,15:49:46,1
33.775444,-84.354153,294.4,2013/08/02,15:49:47,1
33.775448,-84.353985,294.7,2013/08/02,15:49:49,1
33.775439,-84.35382,295,2013/08/02,15:49:51,1
33.775436,-84.353679,295.4,2013/08/02,15:49:53,1
33.775461,-84.353531,295.7,2013/08/02,15:49:55,1
33.775466,-84.35338,296,2013/08/02,15:49:58,1
33.775464,-84.353241,296.2,2013/08/02,15:50:00,1
33.775452,-84.353114,296.5,2013/08/02,15:50:02,1
33.775449,-84.352994,296.7,2013/08/02,15:50:04,1
